triggerid,description,priority,lastchange,hosts
17537,Zabbix server: Utilization of availability manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
17538,Zabbix server: Utilization of history poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
18532,Zabbix server: Utilization of report manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
18533,Zabbix server: Utilization of report writer processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
18981,Zabbix server: Utilization of service manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
18982,Zabbix server: Utilization of trigger housekeeper processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
18983,Zabbix server: Version has changed,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
21198,Zabbix server: Utilization of ODBC poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22382,Linux: Configured max number of open filedescriptors is too low,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22383,Linux: Configured max number of processes is too low,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22384,Linux: High CPU utilization,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22385,Linux: System name has changed,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22386,Linux: System time is out of sync,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22387,Linux: Operating system description has changed,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22388,Linux: {HOST.NAME} has been restarted,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22389,Linux: /etc/passwd has been changed,1,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22390,Linux: High memory utilization,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22391,Linux: Zabbix agent is not available,3,1755208646,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22392,Linux: Getting closer to process limit,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22393,Linux: High swap space usage,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22394,Linux: Lack of available memory,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
22395,Linux: Load average is too high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23162,Linux: Number of installed packages has been changed,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23225,Zabbix server: Utilization of connector manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23226,Zabbix server: Utilization of connector worker processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23288,Zabbix server: Utilization of discovery manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23289,Zabbix server: Utilization of discovery worker processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23299,Zabbix server: Utilization of agent poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23300,Zabbix server: Utilization of http agent poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23396,Zabbix server: Utilization of snmp poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23762,Zabbix server: Utilization of browser poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23763,Zabbix server: Utilization of configuration syncer worker processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23764,Zabbix server: Utilization of internal poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
23765,Zabbix server: Utilization of proxy group manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
24685,Zabbix server: Wrong template assigned,5,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
